taxa;abbrv
Aeshnidae sp.;aeshniae
Ablabesmyia longistyla / monilis ;ablalong
Acricotopus lucens;acriluce
Ablabesmyia phatta;ablaphmo
Alboglossiphonia heteroclita;alglhete
Anisus vortex;ansuvote
Armiger crista;armicris
Asellus aquaticus;aselaqua
Athripsodes aterrimus;athrater
Bathyomphalus contortus;bathcont
Bithynia tentaculata;binitent
Caenis horaria;caenhora
Caenis luctuosa;caenluct
Caenis robusta;caenrobu
Anopheles maculipennis;anopmacu
Ceratopogonidae sp.;cepogoae
Bothrioneurum sp.;bothrosp
Chironomidae sp.;chironsp
Chaoborus obscuripes;chaoobsc
Cladotanytarsus sp.;cladotsp
Clinotanypus nervosus;cltanerv
Cloeon dipterum;cloedipt
Cloeon simile;cloesimi
Coenagrionidae sp.;conagrae
Colymbetes fuscus;colyfusc
Corixa dentipes;corident
Corixa panzeri;coripanz
Corixa punctata;coripunc
Culicidae sp.;cucidae4
Cymatia bonsdorffi;cymabons
Cryptochironomus sp.;crchirsp
Donaciinae sp.;donacis6
Cricotopus sp.;cricotsp
Erpobdella octoculata;erpoocto
Gammarus pulex;gammpule
Glossiphonia complanata;glsicomp
Gyraulus albus;gyraalbu
Gyrinus marinus;gyrimari
Haliplus confinis;haliconf
Haliplus flavicollis;haliflav
Haliplus obliquus;haliobli
Haliplus ruficollis;haligruf
Helobdella stagnalis;hebdstag
Helophorus brevipalpis;herubrev
Hesperocorixa linnei;hesplinn
Hesperocorixa sahlbergi;hespsahl
Hippeutis complanatus;hippcomp
Holocentropus dubius;holodubi
Holocentropus picicornis;holopici
Hydracarina sp.;hycarina
Hydroporus planus;hypoplan
Hydroporus sp.;hyporusp
Hygrobia hermanni;hya_herm
Hygrotus inaequalis;hytuinae
Hygrotus versicolor;hytuvers
Hyphydrus ovatus;hyhyovat
Dicrotendipes sp.;ditendsp
Laccophilus minutus;laphminu
Leptoceridae sp.;leceriae
Libellulidae sp.;libellae
Limnephilus rhombicus;lilurhom
Lymnaea stagnalis;lymnstag
Lymnaea sp.;lymnaes7
Molanna angustata;monaangu
Mystacides azurea;mystazur
Mystacides longicornis/nigra;mystloni
Noterus clavicornis;noteclav
Notonecta glauca;notoglau
Notonecta maculata;notomacu
Notonecta obliqua;notoobli
Notonecta viridis;notoviri
Oecetis furva;oecefurv
Oecetis lacustris;oecelacu
Oligochaeta sp.;olchaeta
Macropelopia sp.;malopisp
Paracorixa concinna;pacoconc
Paratanytarsus sp.;patanysp
Monopelopia tenuicalcar;mopetenu
Physa fontinalis;physfont
Planorbarius corneus;plbacorn
Plea minutissima;pleaminu
Polypedilum sp.;popedisp
Potamopyrgus antipodarum;popyanti
Proasellus meridianus;proameri
Procladius sp.;prdiussp
Psectrocladius barbimanus;psclbarb
Radix ovata;radiovat
Radix peregra;radipere
Rhantus sp.;rhantusp
Sialis lutaria;sialluta
Sigara distincta;sigadist
Sigara falleni;sigafall
Sigara sp.;sigarasp
Sigara striata;sigastri
Tanytarsus sp.;tatarssp
Tabanus sp.;tabanusp
Psectrocladius obvius;psclobvi
Psectrocladius platypus;psclplat
Psectrocladius psilopterus;psclpsil
Triaenodes bicolor;triabico
Sphaeriidae;sphidae
Valvata cristata;valvcris
Valvata piscinalis;valvpisc
