"ORDR";"CONC";"ARC"
"ONE";"0";"1.4120"
"ONE";"0";"1.4120"
"ONE";"0";"1.2490"
"ONE";"0";"1.2490"
"TWO";"32";"1.1071"
"TWO";"32";"1.1071"
"TWO";"32";"1.4120"
"TWO";"32";"1.1071"
"THR";"64";"1.2490"
"THR";"64";"1.4120"
"THR";"64";"1.4120"
"THR";"64";"1.4120"
"FOR";"128";"1.2490"
"FOR";"128";"1.2490"
"FOR";"128";"1.1071"
"FOR";"128";"1.4120"
"FIV";"256";"0.9912"
"FIV";"256";"1.2490"
"FIV";"256";"1.4120"
"FIV";"256";"0.7854"
"SIX";"512";"0.6847"
"SIX";"512";"0.5796"
"SIX";"512";"0.6847"
"SIX";"512";"0.4636"
